,Feat_Importance,Cum_Imp,Diff_Feat_Imp
bd_000,0.0010171682964521815,0.9737695888601017,0.0004545948075629689
ac_000,0.0010170292207724383,0.9747866180808741,5.464655275991704e-06
ag_008,0.0010129712008735026,0.9757995892817476,0.0001594504509468896
dq_000,0.001010464177354677,0.9768100534591023,9.850765658296829e-05
ay_008,0.0009990785434281855,0.9778091320025305,0.00044737199646837354
di_000,0.0009453330141546391,0.9787544650166852,0.002111805533850088
cn_006,0.0009232416286699442,0.9796777066453551,0.0008680295970209484
ae_000,0.0009087408086774329,0.9805864474540326,0.0005697759854534002
bc_000,0.0009032303281276755,0.9814896777821602,0.0002165215130717597
ag_007,0.0008810831065099566,0.9823707608886701,0.0008702235479653851
cn_003,0.0008327892500994194,0.9832035501387696,0.0018975947320130353
ee_006,0.000826145514859203,0.9840296956536287,0.0002610501196167289
ba_008,0.000805202698826853,0.9848348983524556,0.0008228992325374627
at_000,0.0007906065312862273,0.9856255048837419,0.0005735224455305202
bf_000,0.0007649953480893461,0.9863905002318313,0.0010063318593132391
ar_000,0.0007440307066160762,0.9871345309384474,0.0008237568124615273
by_000,0.0007131724165791982,0.9878477033550266,0.0012125047151987968
ee_009,0.0006829713339729291,0.9885306746889995,0.001186681278205865
as_000,0.0006612378126685382,0.989191912501668,0.0008539681566267849
cn_000,0.0006412437425331351,0.9898331562442012,0.0007856204697739105
ai_000,0.0006393185105821632,0.9904724747547834,7.564751046202275e-05
ba_006,0.0006346041038915468,0.991107078858675,0.00018524164284235283
cb_000,0.0005885067621148214,0.9916955856207899,0.0018112877996678818
az_004,0.0005616115801671403,0.992257197200957,0.0010567836030033026
cs_001,0.0005558131880830303,0.99281301038904,0.00022783432698806843
ba_003,0.0005167102376452119,0.9933297206266852,0.001536459464454387
ee_005,0.0004921692721152986,0.9938218898988005,0.0009642801459507394
az_005,0.00044453561750631596,0.9942664255163068,0.0018716536381801932
ag_009,0.0004054385549746188,0.9946718640712815,0.0015362281128815612
do_000,0.0003660626295835919,0.9950379267008651,0.0015471853801645855
az_007,0.00036225656079810217,0.9954001832616632,0.00014955061810820213
ca_000,0.00035334751575206866,0.9957535307774154,0.00035006019819389155
cs_009,0.0003263042681323373,0.9960798350455476,0.0010626014991117867
dr_000,0.00031258515249373546,0.9963924201980414,0.0005390607315014158
an_000,0.00030710668762815426,0.9966995268856695,0.00021526353124653557
ba_004,0.00028711236517025077,0.9969866392508397,0.0007856303841995357
ea_000,0.0002850920898249896,0.9972717313406647,7.938201952219628e-05
ay_001,0.0002759841415284342,0.9975477154821931,0.00035787563867481015
ag_005,0.00026668606770994044,0.9978144015499031,0.0003653461787324231
cs_008,0.0002640620501317192,0.9980784636000348,0.00010310466596028046
ag_001,0.0002398560098710856,0.9983183196099059,0.0009511200366979103
ba_009,0.0002315710021048815,0.9985498906120108,0.0003255401051054949
ee_004,0.00020497235370142054,0.9987548629657123,0.001045132007268354
cn_004,0.00019472103548840054,0.9989495840012007,0.0004028016994926008
az_009,0.00018980617296856305,0.9991393901741693,0.000193118088291185
ce_000,0.00018005273757931863,0.9993194429117487,0.00038323855225654414
az_008,0.00016863149515318945,0.9994880744069019,0.000448771149618478
ee_007,0.00016753133295238084,0.9996556057398542,4.322831415382226e-05
dv_000,0.00012093948009674273,0.999776545219951,0.001830718462033913
cn_005,8.867351352096235e-05,0.9998652187334719,0.0012678160898360199
ba_007,5.6379358553781606e-05,0.9999215980920256,0.0012689236870958148
ag_000,4.9034649012678735e-05,0.9999706327410383,0.00028859327395361426
cn_009,2.9367258962468018e-05,1.0000000000000007,0.0007727843358473735
ee_003,0.0,1.0000000000000007,0.0011539181180130976
ak_000,0.0,1.0000000000000007,0.0
eb_000,0.0,1.0000000000000007,0.0
cd_000,0.0,1.0000000000000007,0.0
ef_000,0.0,1.0000000000000007,0.0
dz_000,0.0,1.0000000000000007,0.0
ee_008,0.0,1.0000000000000007,0.0
ag_006,0.0,1.0000000000000007,0.0
ay_009,0.0,1.0000000000000007,0.0
du_000,0.0,1.0000000000000007,0.0
ds_000,0.0,1.0000000000000007,0.0
af_000,0.0,1.0000000000000007,0.0
ay_004,0.0,1.0000000000000007,0.0
ay_003,0.0,1.0000000000000007,0.0
ay_002,0.0,1.0000000000000007,0.0
cs_005,0.0,1.0000000000000007,0.0
ay_000,0.0,1.0000000000000007,0.0
df_000,0.0,1.0000000000000007,0.0
dh_000,0.0,1.0000000000000007,0.0
dj_000,0.0,1.0000000000000007,0.0
dk_000,0.0,1.0000000000000007,0.0
dl_000,0.0,1.0000000000000007,0.0
dm_000,0.0,1.0000000000000007,0.0
cn_008,0.0,1.0000000000000007,0.0
dp_000,0.0,1.0000000000000007,0.0
az_006,0.0,1.0000000000000007,0.0
dg_000,0.0,1.0000000000000007,0.0
